Date,Message
2017-12-01T00:00:00.000-00:00,";10,782.99;9,381.84;6,984.157;NaN;14.935;54.392;NaN;14.406;9.38;NaN;34.33;NaN"
2017-12-02T00:00:00.000-00:00,";10,890.01;9,656.053;7,123.652;NaN;12.779;52.871;NaN;14.083;9.564;NaN;35.549;NaN"
2017-12-03T00:00:00.000-00:00,";11,165.41;9,930.482;7,268;NaN;12.436;53.624;NaN;13.822;9.738;NaN;36.633;NaN"
2017-12-04T00:00:00.000-00:00,";11,616;10,236.939;7,423.286;NaN;13.471;56.481;NaN;15.026;10.26;NaN;37.903;NaN"
2017-12-05T00:00:00.000-00:00,";11,699.99;10,502.949;7,576.026;NaN;11.397;54.434;NaN;15.793;10.705;NaN;38.634;NaN"
2017-12-06T00:00:00.000-00:00,";13,545.53;11,056.145;7,789.222;NaN;22.516;73.901;NaN;17.846;11.527;NaN;41.942;NaN"
2017-12-07T00:00:00.000-00:00,";16,533.11;12,051.957;8,101.504;NaN;37.182;104.075;NaN;24.812;13.727;NaN;48.762;NaN"
2017-12-08T00:00:00.000-00:00,";15,880;12,747.965;8,379.307;NaN;24.569;89.514;NaN;28.372;15.29;NaN;52.136;NaN"
2017-12-09T00:00:00.000-00:00,";14,699.97;13,102.875;8,605.045;NaN;12.189;70.83;NaN;27.996;15.92;NaN;52.27;NaN"
2017-12-10T00:00:00.000-00:00,";14,899.98;13,429.621;8,829.864;NaN;10.949;68.745;NaN;27.865;16.55;NaN;52.093;NaN"
2017-12-11T00:00:00.000-00:00,";16,560.02;13,998.785;9,105.941;NaN;18.296;81.86;NaN;26.615;16.904;NaN;53.732;NaN"
2017-12-12T00:00:00.000-00:00,";16,350;14,426.278;9,364.658;NaN;13.335;74.593;NaN;19.701;15.592;NaN;54.05;NaN"
2017-12-13T00:00:00.000-00:00,";16,020.42;14,716.122;9,602.364;NaN;8.863;66.838;NaN;15.439;14.596;NaN;53.255;NaN"
2017-12-14T00:00:00.000-00:00,";16,340;15,011.373;9,842.993;NaN;8.851;66.006;NaN;14.565;14.386;NaN;52.508;NaN"
2017-12-15T00:00:00.000-00:00,";17,516.81;15,466.907;10,117.058;NaN;13.253;73.141;NaN;15.17;14.578;NaN;52.879;NaN"
2017-12-16T00:00:00.000-00:00,";19,102.66;16,127.953;10,437.973;NaN;18.444;83.011;NaN;15.21;14.628;NaN;54.512;NaN"
2017-12-17T00:00:00.000-00:00,";18,860.02;16,624.692;10,738.76;NaN;13.446;75.626;NaN;15.239;14.673;NaN;54.81;NaN"
2017-12-18T00:00:00.000-00:00,";18,856.25;17,030.43;11,028.67;NaN;10.721;70.975;NaN;15.726;14.854;NaN;54.42;NaN"
2017-12-19T00:00:00.000-00:00,";17,295.2;17,078.57;11,252.475;NaN;1.268;53.701;NaN;13.771;14.32;NaN;51.776;NaN"
2017-12-20T00:00:00.000-00:00,";16,488.98;16,971.372;11,439.493;NaN;-2.842;44.141;NaN;9.727;13.071;NaN;48.358;NaN"
2017-12-21T00:00:00.000-00:00,";15,492.64;16,702.512;11,584.248;NaN;-7.244;33.739;NaN;3.563;10.982;NaN;44.183;NaN"
2017-12-22T00:00:00.000-00:00,";13,326.61;16,088.711;11,646.475;NaN;-17.168;14.426;NaN;-3.224;8.453;NaN;38.142;NaN"
2017-12-23T00:00:00.000-00:00,";13,300;15,581.673;11,705.53;NaN;-14.643;13.622;NaN;-8.507;6.137;NaN;33.114;NaN"
2017-12-24T00:00:00.000-00:00,";13,500;15,203.187;11,769.618;NaN;-11.203;14.702;NaN;-10.981;4.596;NaN;29.173;NaN"
2017-12-25T00:00:00.000-00:00,";13,699.34;14,929.76;11,838.537;NaN;-8.241;15.718;NaN;-12.03;3.488;NaN;26.112;NaN"
2017-12-26T00:00:00.000-00:00,";15,689.01;15,067.806;11,976.054;NaN;4.123;31.003;NaN;-9.787;3.382;NaN;25.816;NaN"
2017-12-27T00:00:00.000-00:00,";15,459.99;15,139.112;12,100.48;NaN;2.12;27.763;NaN;-5.902;3.898;NaN;25.112;NaN"
2017-12-28T00:00:00.000-00:00,";14,182.11;14,965.112;12,174.824;NaN;-5.232;16.487;NaN;-3.957;4.009;NaN;22.919;NaN"
2017-12-29T00:00:00.000-00:00,";14,378.9;14,858.528;12,253.541;NaN;-3.228;17.345;NaN;-2.267;4.112;NaN;21.259;NaN"
2017-12-30T00:00:00.000-00:00,";12,440.01;14,418.797;12,260.201;NaN;-13.724;1.467;NaN;-3.422;3.562;NaN;17.607;NaN"
2017-12-31T00:00:00.000-00:00,";13,716.36;14,291.081;12,312.206;NaN;-4.022;11.405;NaN;-5.155;2.807;NaN;16.072;NaN"
2018-01-01T00:00:00.000-00:00,";13,380;14,125.43;12,350.342;NaN;-5.277;8.337;NaN;-6.696;2.065;NaN;14.373;NaN"
2018-01-02T00:00:00.000-00:00,";14,675.11;14,225.372;12,433.369;NaN;3.162;18.03;NaN;-4.943;2.124;NaN;14.413;NaN"
2018-01-03T00:00:00.000-00:00,";14,919.51;14,351.579;12,522.16;NaN;3.957;19.145;NaN;-3.412;2.192;NaN;14.609;NaN"
2018-01-04T00:00:00.000-00:00,";15,059.54;14,480.299;12,612.781;NaN;4;19.399;NaN;0.427;2.876;NaN;14.807;NaN"
2018-01-05T00:00:00.000-00:00,";16,960.39;14,931.225;12,768.052;NaN;13.59;32.835;NaN;4.479;3.702;NaN;16.942;NaN"
2018-01-06T00:00:00.000-00:00,";17,069.79;15,320.055;12,921.686;NaN;11.421;32.102;NaN;8.457;4.626;NaN;18.561;NaN"
2018-01-07T00:00:00.000-00:00,";16,150.03;15,470.959;13,036.984;NaN;4.389;23.879;NaN;8.756;4.855;NaN;18.67;NaN"
2018-01-08T00:00:00.000-00:00,";14,902.54;15,367.61;13,103.611;NaN;-3.026;13.728;NaN;7.08;4.643;NaN;17.278;NaN"
2018-01-09T00:00:00.000-00:00,";14,400;15,191.681;13,149.91;NaN;-5.211;9.506;NaN;4.913;4.259;NaN;15.527;NaN"
2018-01-10T00:00:00.000-00:00,";14,907.09;15,139.937;13,212.667;NaN;-1.538;12.824;NaN;1.398;3.482;NaN;14.587;NaN"
2018-01-11T00:00:00.000-00:00,";13,238.78;14,794.272;13,213.6;NaN;-10.514;0.191;NaN;-3.432;2.259;NaN;11.962;NaN"
2018-01-12T00:00:00.000-00:00,";13,740.01;14,602.588;13,232.4;NaN;-5.907;3.836;NaN;-5.613;1.499;NaN;10.355;NaN"
2018-01-13T00:00:00.000-00:00,";14,210;14,531.209;13,267.314;NaN;-2.21;7.105;NaN;-5.443;1.249;NaN;9.526;NaN"
2018-01-14T00:00:00.000-00:00,";13,474.99;14,339.169;13,274.731;NaN;-6.027;1.509;NaN;-5.612;0.949;NaN;8.019;NaN"
2018-01-15T00:00:00.000-00:00,";13,539.93;14,193.853;13,284.203;NaN;-4.607;1.925;NaN;-6.249;0.541;NaN;6.848;NaN"
2018-01-16T00:00:00.000-00:00,";10,900;13,594.97;13,199.052;NaN;-19.823;-17.418;NaN;-8.107;-0.11;NaN;3;NaN"
2018-01-17T00:00:00.000-00:00,";10,988.79;13,121.119;13,120.115;NaN;-16.251;-16.245;NaN;-10.145;-0.849;NaN;0.008;NaN"
2018-01-18T00:00:00.000-00:00,";10,961.97;12,728.547;13,043.038;NaN;-13.879;-15.955;NaN;-12.405;-1.69;NaN;-2.411;NaN"
2018-01-19T00:00:00.000-00:00,";11,474.98;12,500.626;12,987.036;NaN;-8.205;-11.643;NaN;-12.822;-2.167;NaN;-3.745;NaN"
2018-01-20T00:00:00.000-00:00,";12,799.94;12,555.046;12,980.354;NaN;1.951;-1.39;NaN;-11.546;-2.287;NaN;-3.277;NaN"
2018-01-21T00:00:00.000-00:00,";11,530;12,368.674;12,928.556;NaN;-6.781;-10.818;NaN;-9.02;-2.049;NaN;-4.331;NaN"
2018-01-22T00:00:00.000-00:00,";10,760.05;12,076.197;12,851.109;NaN;-10.899;-16.271;NaN;-7.964;-2.05;NaN;-6.03;NaN"
2018-01-23T00:00:00.000-00:00,";10,799.18;11,844.012;12,777.826;NaN;-8.822;-15.485;NaN;-6.949;-2.033;NaN;-7.308;NaN"
2018-01-24T00:00:00.000-00:00,";11,349.99;11,754.19;12,726.832;NaN;-3.439;-10.818;NaN;-5.971;-2.004;NaN;-7.642;NaN"
2018-01-25T00:00:00.000-00:00,";11,175.27;11,648.932;12,671.419;NaN;-4.066;-11.807;NaN;-7.217;-2.38;NaN;-8.069;NaN"
2018-01-26T00:00:00.000-00:00,";11,089;11,547.126;12,614.904;NaN;-3.967;-12.096;NaN;-6.642;-2.426;NaN;-8.464;NaN"
2018-01-27T00:00:00.000-00:00,";11,491;11,536.921;12,574.764;NaN;-0.398;-8.619;NaN;-4.466;-2.15;NaN;-8.253;NaN"
2018-01-28T00:00:00.000-00:00,";11,879.95;11,599.29;12,549.95;NaN;2.42;-5.339;NaN;-2.066;-1.783;NaN;-7.575;NaN"
2018-01-29T00:00:00.000-00:00,";11,251;11,535.965;12,503.558;NaN;-2.47;-10.018;NaN;-1.857;-1.754;NaN;-7.739;NaN"
2018-01-30T00:00:00.000-00:00,";10,237.51;11,299.882;12,422.628;NaN;-9.402;-17.59;NaN;-2.996;-1.963;NaN;-9.038;NaN"
2018-01-31T00:00:00.000-00:00,";10,285.1;11,115.376;12,346.288;NaN;-7.47;-16.695;NaN;-3.739;-2.129;NaN;-9.97;NaN"
2018-02-01T00:00:00.000-00:00,";9,224.52;10,771.584;12,234.796;NaN;-14.362;-24.604;NaN;-6.634;-2.704;NaN;-11.959;NaN"
2018-02-02T00:00:00.000-00:00,";8,873.03;10,426.392;12,114.733;NaN;-14.898;-26.758;NaN;-10.112;-3.468;NaN;-13.936;NaN"
2018-02-03T00:00:00.000-00:00,";9,199.96;10,203.405;12,010.634;NaN;-9.834;-23.402;NaN;-11.551;-3.942;NaN;-15.047;NaN"
2018-02-04T00:00:00.000-00:00,";8,184.81;9,836.388;11,873.997;NaN;-16.79;-31.069;NaN;-12.951;-4.416;NaN;-17.16;NaN"
2018-02-05T00:00:00.000-00:00,";6,939.99;9,309.77;11,697.783;NaN;-25.455;-40.673;NaN;-16.244;-5.253;NaN;-20.414;NaN"
2018-02-06T00:00:00.000-00:00,";7,652.14;9,008.383;11,553.296;NaN;-15.055;-33.767;NaN;-16.369;-5.57;NaN;-22.028;NaN"
2018-02-07T00:00:00.000-00:00,";7,599;8,752.131;11,412.071;NaN;-13.175;-33.413;NaN;-16.058;-5.8;NaN;-23.308;NaN"
2018-02-08T00:00:00.000-00:00,";7,784.02;8,576.111;11,282.498;NaN;-9.236;-31.008;NaN;-15.949;-6.062;NaN;-23.987;NaN"
2018-02-09T00:00:00.000-00:00,";8,683.92;8,595.713;11,189.691;NaN;1.026;-22.394;NaN;-12.613;-5.763;NaN;-23.182;NaN"
2018-02-10T00:00:00.000-00:00,";8,533.98;8,584.489;11,094.844;NaN;-0.588;-23.082;NaN;-7.791;-5.154;NaN;-22.626;NaN"
2018-02-11T00:00:00.000-00:00,";8,063.88;8,489.832;10,986.596;NaN;-5.017;-26.603;NaN;-5.756;-4.905;NaN;-22.726;NaN"
2018-02-12T00:00:00.000-00:00,";8,903;8,564.954;10,912.182;NaN;3.947;-18.412;NaN;-2.139;-4.38;NaN;-21.51;NaN"
2018-02-13T00:00:00.000-00:00,";8,539.9;8,560.399;10,827.457;NaN;-0.239;-21.127;NaN;-0.183;-4.033;NaN;-20.938;NaN"
