start_idx,duration,arrival_velocity,arrival_accel,h_during,energy_slope,outcome,impact_type,dynamics_type
8873,3,0.44983636363636365,-0.030375,0.5,0.0,4.43,LENTO,TRANSITORIO
8948,4,0.09840606060606022,0.34674999999999995,0.5,0.0,-2.599,LENTO,TRANSITORIO
9044,5,-0.12749090909090904,-0.033499999999999974,0.5,0.0,-3.106,LENTO,TRANSITORIO
9438,4,0.20680000000000004,-0.029624999999999985,0.5,0.0,1.767,LENTO,TRANSITORIO
9443,4,0.2682666666666666,-0.0073750000000000066,0.5,0.0,3.631,LENTO,TRANSITORIO
9472,5,-0.3485878787878787,0.05475000000000002,0.5,0.0,0.408,LENTO,TRANSITORIO
9482,4,0.039351515151515144,0.134625,0.5,0.0,0.693,LENTO,TRANSITORIO
9811,6,0.7652848484848485,0.24862499999999996,0.5,0.09134652497726381,-5.499,LENTO,TRANSITORIO
9847,3,0.011896969696969776,-0.26075,0.5,0.0,1.83,LENTO,TRANSITORIO
9852,4,0.02419999999999998,0.08424999999999999,0.5,0.0,0.03,LENTO,TRANSITORIO
9863,4,0.11931515151515155,0.008374999999999966,0.5,0.0,4.004,LENTO,TRANSITORIO
9889,4,-0.21883636363636355,-0.0861249999999999,0.5,0.0,-1.179,LENTO,TRANSITORIO
9898,3,-0.4075515151515152,0.203375,0.5,0.0,-2.275,LENTO,TRANSITORIO
9902,6,-0.005812121212121215,0.07175000000000001,0.5,-0.10657548599604517,-3.454,LENTO,TRANSITORIO
9920,5,0.14664242424242413,0.07337500000000002,0.5,0.0,0.217,LENTO,TRANSITORIO
9927,3,0.12427878787878795,-0.4023749999999999,0.5,0.0,-2.643,LENTO,TRANSITORIO
9931,4,0.04130303030303025,0.19499999999999998,0.5,0.0,-6.351,LENTO,TRANSITORIO
